7|4656|5.99598|4.533,1.95184;4.5675,1.9628;|1111 1112 1122 1312 1322 1112 1122 1311 2311 1111 3311 1112 1122 1111 2311 1111 3311 1111
7|4730|5.49453|3.11225,2.09474;|1111 1113 1123 1111 1133 1122 1112 1311 2311 1311 2312 1111 2322 1111 3311 1111 3311 1111
7|4767|5.65755|5.4465,1.66019;|1111 1112 1122 1114 1124 1111 1134 1111 1144 1311 2311 1111 3311 1311 2311 1111 3311 1111
7|4780|3.69599|4.57783,1.51686;|1111 1112 1122 1313 1323 1111 1333 1112 1122 1311 2311 1111 3311 1111 2311 1111 3311 1111
7|4856|5.65755|5.4465,1.66019;|1111 1112 1122 1114 1124 1111 1134 1111 1144 1311 2311 1311 2311 1111 3311 1111 3311 1111
7|4972|5.22505|4.53224,1.64254;4.53224,1.64254;|1111 1112 1122 1312 1322 1112 1122 1322 2311 1111 3311 1111 1312 1111 2311 1111 3311 1111
7|5177|2.52033|5.57783,1.51686;|1111 1122 1112 1313 1323 1111 1333 1112 1122 1311 2311 1111 3311 1111 2311 1111 3311 1111
7|5215|5.49453|3.11225,2.09474;|1111 1113 1123 1111 1133 1122 1112 1311 2311 1311 2311 1111 3312 1111 3322 1111 3311 1111
7|5223|5.53674|3.11225,2.1101;|1111 1113 1123 1111 1133 1122 1112 1311 2311 1322 2311 1111 3311 1111 1312 1111 3311 1111
7|5240|5.49453|3.11225,2.09474;|1111 1113 1123 1111 1133 1122 1112 1311 2311 1111 3312 1111 3322 1311 2311 1111 3311 1111
7|5533|3.86729|5.53265,1.81011;5.55073,1.81561;|1111 1122 1112 1312 1322 1113 1123 1111 1133 1311 2311 1111 3311 1111 2311 1111 3311 1111
7|5765|5.53674|3.11225,2.1101;|1111 1113 1123 1111 1133 1122 1112 1311 2311 1312 1322 1111 2311 1111 3311 1111 3311 1111
7|6254|5.18408|4.45816,1.62889;4.46399,1.62628;|1111 1112 1122 1322 2311 1111 3311 1111 1312 1122 1112 1311 2311 1111 3312 1111 3322 1111
7|6260|5.18408|4.45816,1.62889;4.46399,1.62628;|1111 1112 1122 1322 2311 1111 3311 1111 1312 1122 1112 1311 2312 1111 2322 1111 3311 1111
7|6307|3.58414|4.30439,2.42258;|1111 1311 2311 1111 3312 1111 3322 1122 1112 1112 1122 1311 2311 1111 3312 1111 3322 1111
7|6313|3.58414|4.30439,2.42258;|1111 1311 2311 1111 3312 1111 3322 1122 1112 1112 1122 1311 2312 1111 2322 1111 3311 1111
7|6464|5.53674|3.11225,2.1101;|1111 1113 1123 1111 1133 1122 1112 1311 2311 1111 3311 1322 2311 1111 3311 1111 1312 1111
7|6473|5.51874|3.11225,2.10355;|1111 1113 1123 1111 1133 1122 1112 1322 2311 1111 3311 1311 2311 1111 3311 1111 1312 1111
7|6673|5.22505|4.45812,1.64545;4.46399,1.64304;|1111 1112 1122 1322 2311 1111 3311 1111 1312 1122 1112 1312 1322 1111 2311 1111 3311 1111
7|6676|5.99598|4.43517,1.96388;4.45742,1.95488;|1111 1112 1122 1322 2311 1111 3311 1111 1312 1122 1112 1311 2311 1112 1122 1111 3311 1111
7|6678|5.99598|4.43517,1.96388;4.45742,1.95488;|1111 1112 1122 1322 2311 1111 3311 1111 1312 1122 1112 1311 2311 1111 3311 1112 1122 1111
7|6697|5.49453|3.11225,2.09474;|1111 1113 1123 1111 1133 1122 1112 1311 2312 1311 2311 1111 3311 1111 2322 1111 3311 1111
7|6894|5.51786|3.11225,2.10323;|1111 1113 1123 1111 1133 1122 1112 1312 1322 1311 2311 1111 3311 1111 2311 1111 3311 1111
7|6895|5.51795|3.11225,2.10326;|1111 1113 1123 1111 1133 1122 1112 1322 2311 1311 2311 1111 3311 1111 3311 1111 1312 1111
7|7458|5.49453|3.11225,2.09474;|1111 1113 1123 1111 1133 1122 1112 1311 2311 1112 1122 1111 3311 1311 2311 1111 3311 1111
7|7646|4.21386|5.53314,2.01111;5.5675,2.02294;|1111 1122 1112 1312 1322 1112 1122 1122 1112 1311 2311 1111 3311 1111 2311 1111 3311 1111
7|7647|4.30718|5.53197,1.53416;|1111 1122 1112 1312 1322 1113 1123 1311 2311 1111 3311 1111 1133 1111 2311 1111 3311 1111
